graph_name,test_type,time,result
2-02,2D_mesh,0.1172766685485839,Success
2-03,2D_mesh,0.0336863994598388,Success
2-04,2D_mesh,0.1195294857025146,Success
2-05,2D_mesh,0.5723142623901367,Success
2-06,2D_mesh,29.16059899330139,Success
2-07,2D_mesh,600.0,Timeout
2-08,2D_mesh,600.0,Timeout
2-09,2D_mesh,600.0,Timeout
2-10,2D_mesh,600.0,Timeout
2-11,2D_mesh,600.0,Timeout
2-12,2D_mesh,600.0,Timeout
2-13,2D_mesh,600.0,Timeout
3-03,2D_mesh,0.1240592002868652,Success
3-04,2D_mesh,23.254501581192017,Success
3-05,2D_mesh,600.0,Timeout
3-06,2D_mesh,600.0,Timeout
3-07,2D_mesh,600.0,Timeout
3-08,2D_mesh,600.0,Timeout
4-04,2D_mesh,600.0,Timeout
4-05,2D_mesh,600.0,Timeout
4-06,2D_mesh,600.0,Timeout
5-05,2D_mesh,600.0,Timeout
